ASIN,Category,Date,Price,Rank,Rating,Reviews,Title,T_FINAL
B01KJEOCDW,Toys & Games,27-10-20,11.99,#72,4.8 out of 5 stars,"9,418","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
B086DKSYTS,Amazon Devices,01-11-20,89.99,#19,4.2 out of 5 stars,"1,822","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,31-10-20,89.99,#19,4.2 out of 5 stars,"1,728","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,30-10-20,89.99,#20,4.2 out of 5 stars,"1,651","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,28-10-20,89.99,#11,4.2 out of 5 stars,"1,418",,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,27-10-20,89.99,#11,4.2 out of 5 stars,"1,346",,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,26-10-20,89.99,#12,4.2 out of 5 stars,"1,284",,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B086DKSYTS,Amazon Devices,29-10-20,89.99,#19,4.2 out of 5 stars,"1,481","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…","All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…"
B00JM5GW10,Toys & Games,01-11-20,8.69,#23,4.7 out of 5 stars,"15,555",,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00JM5GW10,Toys & Games,31-10-20,8.69,#32,4.7 out of 5 stars,"15,414",,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00JM5GW10,Toys & Games,28-10-20,8.69,#40,4.7 out of 5 stars,"14,921",,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00JM5GW10,Toys & Games,27-10-20,8.69,#28,4.7 out of 5 stars,"14,834",,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00JM5GW10,Toys & Games,26-10-20,8.69,#34,4.7 out of 5 stars,"14,740",,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00JM5GW10,Toys & Games,29-10-20,8.69,#23,4.7 out of 5 stars,"15,036","Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…","Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…"
B00NNMB3KS,Computers/Accessories,01-11-20,32.99,#33,4.4 out of 5 stars,"18,748","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,30-10-20,32.99,#28,4.4 out of 5 stars,"18,578","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,31-10-20,32.99,#36,4.4 out of 5 stars,"18,653",,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,28-10-20,32.99,#25,4.4 out of 5 stars,"18,356",,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,27-10-20,32.99,#24,4.4 out of 5 stars,"18,291",,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,26-10-20,32.99,#28,4.4 out of 5 stars,"18,236",,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B00NNMB3KS,Computers/Accessories,29-10-20,32.99,#27,4.4 out of 5 stars,"18,396","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…"
B082YNQKB7,Fashion,30-10-20,32.67,#24,4.8 out of 5 stars,"14,997",Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B082YNQKB7,Fashion,01-11-20,32.6,#30,4.8 out of 5 stars,"15,330",,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B082YNQKB7,Fashion,31-10-20,32.69,#30,4.8 out of 5 stars,"15,123",,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B082YNQKB7,Fashion,28-10-20,33.05,#39,4.8 out of 5 stars,"14,535",,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B082YNQKB7,Fashion,29-10-20,32.8,#41,4.8 out of 5 stars,"14,660",Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B082YNQKB7,Fashion,27-10-20,34.99,#47,4.8 out of 5 stars,"14,409",Crocs Classic Lined Clog | Warm and Fuzzy Slippers,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers
B085VT322X,Amazon Devices,01-11-20,89.99,#13,4.5 out of 5 stars,"24,027",Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,30-10-20,59.99,#12,4.5 out of 5 stars,"23,744",Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,31-10-20,59.99,#12,4.5 out of 5 stars,"23,870",Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,28-10-20,89.99,#27,4.5 out of 5 stars,"23,323",,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,27-10-20,89.99,#25,4.5 out of 5 stars,"23,227",,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,26-10-20,89.99,#25,4.5 out of 5 stars,"23,139",,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B085VT322X,Amazon Devices,29-10-20,59.99,#7,4.5 out of 5 stars,"23,448",Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
B07FKR6KXF,Computers/Accessories,01-11-20,49.99,#1,4.4 out of 5 stars,"111,015","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,01-11-20,49.99,#9,4.4 out of 5 stars,"111,015","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,30-10-20,49.99,#2,4.4 out of 5 stars,"110,133","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,30-10-20,49.99,#14,4.4 out of 5 stars,"110,133","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,31-10-20,49.99,#1,4.4 out of 5 stars,"110,480",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,31-10-20,49.99,#11,4.4 out of 5 stars,"110,480","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,28-10-20,49.99,#2,4.4 out of 5 stars,"108,709",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,28-10-20,49.99,#6,4.4 out of 5 stars,"108,709",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,27-10-20,49.99,#3,4.4 out of 5 stars,"108,344",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,27-10-20,49.99,#7,4.4 out of 5 stars,"108,344",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,26-10-20,49.99,#3,4.4 out of 5 stars,"108,053",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,26-10-20,49.99,#7,4.4 out of 5 stars,"108,053",,"Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Computers/Accessories,29-10-20,49.99,#2,4.4 out of 5 stars,"109,081","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07FKR6KXF,Amazon Devices,29-10-20,49.99,#11,4.4 out of 5 stars,"109,081","Fire 7 tablet (7"" display, 16 GB) - Black","Fire 7 tablet (7"" display, 16 GB) - Black"
B07T575145,Amazon Devices,01-11-20,21.99,#35,4.8 out of 5 stars,"13,326",Echo Show 8 Adjustable Stand - Black,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,31-10-20,21.99,#34,4.8 out of 5 stars,"13,178",Echo Show 8 Adjustable Stand - Black,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,30-10-20,21.99,#37,4.8 out of 5 stars,"13,091",Echo Show 8 Adjustable Stand - Black,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,28-10-20,24.99,#39,4.8 out of 5 stars,"12,767",,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,27-10-20,24.99,#37,4.8 out of 5 stars,"12,696",,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,26-10-20,24.99,#47,4.7 out of 5 stars,"12,628",,Echo Show 8 Adjustable Stand - Black
B07T575145,Amazon Devices,29-10-20,21.99,#33,4.8 out of 5 stars,"12,854",Echo Show 8 Adjustable Stand - Black,Echo Show 8 Adjustable Stand - Black
B0863D4XJW,Computers/Accessories,01-11-20,929,#29,4.8 out of 5 stars,"6,440","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,30-10-20,949.99,#29,4.8 out of 5 stars,"6,278","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,31-10-20,929,#39,4.8 out of 5 stars,"6,353",,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,28-10-20,929,#21,4.8 out of 5 stars,"6,024",,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,27-10-20,949.99,#28,4.8 out of 5 stars,"5,970",,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,26-10-20,949.99,#22,4.8 out of 5 stars,"5,924",,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B0863D4XJW,Computers/Accessories,29-10-20,929,#21,4.8 out of 5 stars,"6,093","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)","Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)"
B01DUTYGXE,Fashion,30-10-20,8.95,#77,4.0 out of 5 stars,"17,634",Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
B01DUTYGXE,Fashion,01-11-20,8.95,#70,4.0 out of 5 stars,"17,942",,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
