ASIN,Category,Title,Rating,Avg_Reviews,Rating_Fill,Avg_Price
B081GKNJV4,Fashion,Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Pull-on Skinny Jeans,4.3,25881,16.5,16.5
B07CKZTX2Q,Fashion,Simple Joys by Carter's Baby and Toddler Boys' 3-Pack Loose Fit Fleece Footed Pajamas,4.8,10754,26,26
B08842D7JS,Computers/Accessories,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6…",4.6,924,1156.93,1156.93
B07X6C9RMF,Amazon Devices,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, motion detection, night…",4.5,25361,29.28,29.28
B07JQJ4SD5,Fashion,Thermajohn Men's Ultra Soft Thermal Underwear Long Johns Set with Fleece Lined,4.6,8353,22.98,22.98
B077YS8TTN,Fashion,SATINA High Waisted Leggings - 25 Colors - Super Soft Full Length Opaque Slim,4.3,34162,9.99,9.99
B07MLY3JKV,Amazon Devices,Echo Flex - Plug-in mini smart speaker with Alexa,4.4,24468,16.42,16.42
B07ZPHHTFR,Computers/Accessories,"Vsco Stickers 70 Pack I Cute Stickers Waterproof 100% Vinyl Stickers I Vsco Girls Stuff, Aesthetic…",4.7,1748,6.99,6.99
B0825SNHP1,Toys & Games,"Mattel Star Wars The Child Plush Toy, 11-Inch Small Yoda-Like Soft Figure from The…",4.9,9612,17.49,17.49
B06XCQSPSW,Fashion,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets,4.4,8353,7.99,7.99
B07CPCFVB9,Movies & TV,"NIGHTMARE BEFORE CHRISTMAS, THE (TIM…",4.8,18750,6.75,6.75
B082PP9XW1,Movies & TV,FROZEN 2,4.7,49186,14.9,14.9
B07JYJM6JT,Fashion,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…,4.3,8147,6.99,6.99
B013TMN4GW,Amazon Devices,Made for Amazon SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV,4.6,33418,9.99,9.99
B07SW89GC3,Computers/Accessories,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…,4.7,969,26.97,26.97
B01KJEOCDW,Toys & Games,"LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…",4.8,9576,11.99,11.99
B086DKSYTS,Amazon Devices,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and…",4.2,1533,89.99,89.99
B00JM5GW10,Toys & Games,"Play-Doh Modeling Compound 10 Pack Case of Colors, Non-Toxic, Assorted Colors, 2 Oz Cans,…",4.7,15083,8.69,8.69
B00NNMB3KS,Computers/Accessories,"havit HV-F2056 15.6-17 Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black…",4.4,18465,32.99,32.99
B082YNQKB7,Fashion,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers,4.8,14842,33.13,33.13
B085VT322X,Amazon Devices,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.5,23540,77.13,77.13
B07FKR6KXF,Computers/Accessories,"Fire 7 tablet (7 display, 16 GB) - Black",4.4,109402,49.99,49.99
B07T575145,Amazon Devices,Echo Show 8 Adjustable Stand - Black,4.8,12934,23.28,23.28
B0863D4XJW,Computers/Accessories,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)",4.8,6155,938,938
B01DUTYGXE,Fashion,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana,4,17429,8.95,8.95
B0741WGQ36,Amazon Devices,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),4.6,6144,9.99,9.99
B01BX4G6FY,Toys & Games,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…,4.6,8998,21.99,21.99
B081FVQCHQ,Computers/Accessories,Apple 96W USB-C Power Adapter,4.7,521,79,79
